Base,Reranker,Optimization,Protected,Metric,Value
RankALS,FA*IR,Joint-2%,Country,NDCG,1.0
BPR,PFAR,Joint-2%,Country,NDCG,1.0
BMF,PFAR,Joint-2%,Country,NDCG,1.0
SLIM,PFAR,Joint-2%,Country,NDCG,1.0
RankALS,PFAR,Joint-2%,Country,NDCG,1.0
BPR,None,Original,Country,PSP,-0.965
BMF,None,Original,Country,PSP,-0.727
SLIM,None,Original,Country,PSP,-0.719
RankALS,None,Original,Country,PSP,-0.723
BPR,FAR,Separate,Country,PSP,-0.512
BMF,FAR,Separate,Country,PSP,-0.302
SLIM,FAR,Separate,Country,PSP,-0.141
RankALS,FAR,Separate,Country,PSP,2.0
BPR,FA*IR,Separate,Country,PSP,-0.603
BMF,FA*IR,Separate,Country,PSP,-0.306
SLIM,FA*IR,Separate,Country,PSP,-0.208
RankALS,FA*IR,Separate,Country,PSP,2.0
BPR,PFAR,Separate,Country,PSP,2.0
BMF,PFAR,Separate,Country,PSP,2.0
SLIM,PFAR,Separate,Country,PSP,2.0
RankALS,PFAR,Separate,Country,PSP,2.0
BPR,FAR,Joint,Country,PSP,-0.512
BMF,FAR,Joint,Country,PSP,-0.269
SLIM,FAR,Joint,Country,PSP,-0.043
RankALS,FAR,Joint,Country,PSP,2.0
BPR,FA*IR,Joint,Country,PSP,-0.34
BMF,FA*IR,Joint,Country,PSP,-0.581
SLIM,FA*IR,Joint,Country,PSP,-0.345
RankALS,FA*IR,Joint,Country,PSP,2.0
BPR,PFAR,Joint,Country,PSP,2.0
BMF,PFAR,Joint,Country,PSP,2.0
SLIM,PFAR,Joint,Country,PSP,2.0
RankALS,PFAR,Joint,Country,PSP,2.0
BPR,FAR,Joint-5%,Country,PSP,-0.29
BMF,FAR,Joint-5%,Country,PSP,0.107
SLIM,FAR,Joint-5%,Country,PSP,-0.206
RankALS,FAR,Joint-5%,Country,PSP,2.0
BPR,FA*IR,Joint-5%,Country,PSP,-0.603
BMF,FA*IR,Joint-5%,Country,PSP,0.106
SLIM,FA*IR,Joint-5%,Country,PSP,-0.311
RankALS,FA*IR,Joint-5%,Country,PSP,2.0
BPR,PFAR,Joint-5%,Country,PSP,2.0
BMF,PFAR,Joint-5%,Country,PSP,2.0
SLIM,PFAR,Joint-5%,Country,PSP,2.0
RankALS,PFAR,Joint-5%,Country,PSP,2.0
BPR,FAR,Joint-2%,Country,PSP,-0.29
BMF,FAR,Joint-2%,Country,PSP,-0.486
SLIM,FAR,Joint-2%,Country,PSP,-0.773
RankALS,FAR,Joint-2%,Country,PSP,2.0
BPR,FA*IR,Joint-2%,Country,PSP,-0.71
BMF,FA*IR,Joint-2%,Country,PSP,-0.715
SLIM,FA*IR,Joint-2%,Country,PSP,-0.773
RankALS,FA*IR,Joint-2%,Country,PSP,2.0
BPR,PFAR,Joint-2%,Country,PSP,2.0
BMF,PFAR,Joint-2%,Country,PSP,2.0
SLIM,PFAR,Joint-2%,Country,PSP,2.0
RankALS,PFAR,Joint-2%,Country,PSP,2.0
