Base,Reranker,Metric,Value,Optimization,Protected
RankALS,None,NDCG,0.0554,Original,COUNTRY_low_pfr
BPR,FAR,NDCG,0.0642,Separate,COUNTRY_low_pfr
BMF,FAR,NDCG,0.031,Separate,COUNTRY_low_pfr
SLIM,FAR,NDCG,0.0164,Separate,COUNTRY_low_pfr
RankALS,FAR,NDCG,0.0512,Separate,COUNTRY_low_pfr
BPR,FairStar,NDCG,0.0596,Separate,COUNTRY_low_pfr
BMF,FairStar,NDCG,0.0341,Separate,COUNTRY_low_pfr
SLIM,FairStar,NDCG,0.0168,Separate,COUNTRY_low_pfr
RankALS,FairStar,NDCG,0.0498,Separate,COUNTRY_low_pfr
BPR,PFAR,NDCG,0.0642,Separate,COUNTRY_low_pfr
BMF,PFAR,NDCG,0.031,Separate,COUNTRY_low_pfr
SLIM,PFAR,NDCG,0.0164,Separate,COUNTRY_low_pfr
RankALS,PFAR,NDCG,0.0515,Separate,COUNTRY_low_pfr
BPR,FAR,NDCG,0.0594,Joint,COUNTRY_low_pfr
BMF,FAR,NDCG,0.0291,Joint,COUNTRY_low_pfr
SLIM,FAR,NDCG,0.0153,Joint,COUNTRY_low_pfr
RankALS,FAR,NDCG,0.05,Joint,COUNTRY_low_pfr
BPR,FairStar,NDCG,0.0598,Joint,COUNTRY_low_pfr
BMF,FairStar,NDCG,0.0292,Joint,COUNTRY_low_pfr
SLIM,FairStar,NDCG,0.0159,Joint,COUNTRY_low_pfr
RankALS,FairStar,NDCG,0.0499,Joint,COUNTRY_low_pfr
BPR,PFAR,NDCG,0.0595,Joint,COUNTRY_low_pfr
BMF,PFAR,NDCG,0.0291,Joint,COUNTRY_low_pfr
SLIM,PFAR,NDCG,0.0163,Joint,COUNTRY_low_pfr
RankALS,PFAR,NDCG,0.05,Joint,COUNTRY_low_pfr
BPR,FAR,NDCG,0.0694,Joint-5%,COUNTRY_low_pfr
BMF,FAR,NDCG,0.033,Joint-5%,COUNTRY_low_pfr
SLIM,FAR,NDCG,0.0162,Joint-5%,COUNTRY_low_pfr
RankALS,FAR,NDCG,0.0526,Joint-5%,COUNTRY_low_pfr
BPR,FairStar,NDCG,0.0596,Joint-5%,COUNTRY_low_pfr
